time,forecast_pv_mw,assumed_demand_mw,net_load_mw
2026-09-17 00:30:00+01:00,0.0,2668.0,2668.0
2026-09-17 01:30:00+01:00,0.0,2530.0,2530.0
2026-09-17 02:30:00+01:00,0.0,2438.0,2438.0
2026-09-17 03:30:00+01:00,0.0,2392.0,2392.0
2026-09-17 04:30:00+01:00,0.0,2438.0,2438.0
2026-09-17 05:30:00+01:00,0.0,2576.0000000000005,2576.0000000000005
2026-09-17 06:30:00+01:00,13.5802,2852.0,2838.4198
2026-09-17 07:30:00+01:00,81.6882,3128.0,3046.3118
2026-09-17 08:30:00+01:00,178.0016,3404.0,3225.9984
2026-09-17 09:30:00+01:00,265.897,3634.0,3368.103
2026-09-17 10:30:00+01:00,324.1283,3818.0,3493.8717
2026-09-17 11:30:00+01:00,392.1071,3910.0,3517.8929
2026-09-17 12:30:00+01:00,401.3369,3956.0,3554.6630999999998
2026-09-17 13:30:00+01:00,375.4266,3910.0,3534.5734
2026-09-17 14:30:00+01:00,315.7536,3864.0,3548.2464
2026-09-17 15:30:00+01:00,214.0634,3864.0,3649.9366
2026-09-17 16:30:00+01:00,125.2397,3956.0,3830.7603
2026-09-17 17:30:00+01:00,44.7588,4140.0,4095.2412
2026-09-17 18:30:00+01:00,0.0113,4370.0,4369.9887
2026-09-17 19:30:00+01:00,0.0,4554.0,4554.0
2026-09-17 20:30:00+01:00,0.0,4600.0,4600.0
2026-09-17 21:30:00+01:00,0.0,4324.0,4324.0
2026-09-17 22:30:00+01:00,0.0,3680.0,3680.0
2026-09-17 23:30:00+01:00,0.0,3082.0,3082.0
2026-09-18 00:30:00+01:00,0.0,2668.0,2668.0
2026-09-18 01:30:00+01:00,0.0,2530.0,2530.0
2026-09-18 02:30:00+01:00,0.0,2438.0,2438.0
2026-09-18 03:30:00+01:00,0.0,2392.0,2392.0
2026-09-18 04:30:00+01:00,0.0,2438.0,2438.0
2026-09-18 05:30:00+01:00,0.0,2576.0000000000005,2576.0000000000005
2026-09-18 06:30:00+01:00,16.9736,2852.0,2835.0264
2026-09-18 07:30:00+01:00,96.9694,3128.0,3031.0306
2026-09-18 08:30:00+01:00,203.4362,3404.0,3200.5638
2026-09-18 09:30:00+01:00,299.1889,3634.0,3334.8111
2026-09-18 10:30:00+01:00,361.546,3818.0,3456.454
2026-09-18 11:30:00+01:00,404.404,3910.0,3505.596
2026-09-18 12:30:00+01:00,402.8792,3956.0,3553.1208
2026-09-18 13:30:00+01:00,374.6175,3910.0,3535.3825
2026-09-18 14:30:00+01:00,308.4238,3864.0,3555.5762
2026-09-18 15:30:00+01:00,205.5397,3864.0,3658.4603
2026-09-18 16:30:00+01:00,110.6124,3956.0,3845.3876
2026-09-18 17:30:00+01:00,40.8006,4140.0,4099.1994
2026-09-18 18:30:00+01:00,0.0,4370.0,4370.0
2026-09-18 19:30:00+01:00,0.0,4554.0,4554.0
2026-09-18 20:30:00+01:00,0.0,4600.0,4600.0
2026-09-18 21:30:00+01:00,0.0,4324.0,4324.0
2026-09-18 22:30:00+01:00,0.0,3680.0,3680.0
2026-09-18 23:30:00+01:00,0.0,3082.0,3082.0
2026-09-19 00:30:00+01:00,0.0,2668.0,2668.0
2026-09-19 01:30:00+01:00,0.0,2530.0,2530.0
2026-09-19 02:30:00+01:00,0.0,2438.0,2438.0
2026-09-19 03:30:00+01:00,0.0,2392.0,2392.0
2026-09-19 04:30:00+01:00,0.0,2438.0,2438.0
2026-09-19 05:30:00+01:00,0.0,2576.0000000000005,2576.0000000000005
2026-09-19 06:30:00+01:00,8.7868,2852.0,2843.2132
2026-09-19 07:30:00+01:00,62.9183,3128.0,3065.0817
2026-09-19 08:30:00+01:00,135.8744,3404.0,3268.1256
2026-09-19 09:30:00+01:00,210.847,3634.0,3423.153
2026-09-19 10:30:00+01:00,282.9649,3818.0,3535.0351
2026-09-19 11:30:00+01:00,342.987,3910.0,3567.013
2026-09-19 12:30:00+01:00,387.982,3956.0,3568.018
2026-09-19 13:30:00+01:00,347.6807,3910.0,3562.3193
2026-09-19 14:30:00+01:00,294.2723,3864.0,3569.7277
2026-09-19 15:30:00+01:00,236.6435,3864.0,3627.3565
2026-09-19 16:30:00+01:00,147.5813,3956.0,3808.4187
2026-09-19 17:30:00+01:00,48.7404,4140.0,4091.2596
2026-09-19 18:30:00+01:00,0.0,4370.0,4370.0
2026-09-19 19:30:00+01:00,0.0,4554.0,4554.0
2026-09-19 20:30:00+01:00,0.0,4600.0,4600.0
2026-09-19 21:30:00+01:00,0.0,4324.0,4324.0
2026-09-19 22:30:00+01:00,0.0,3680.0,3680.0
2026-09-19 23:30:00+01:00,0.0,3082.0,3082.0
2026-09-20 00:30:00+01:00,0.0,2668.0,2668.0
2026-09-20 01:30:00+01:00,0.0,2530.0,2530.0
2026-09-20 02:30:00+01:00,0.0,2438.0,2438.0
2026-09-20 03:30:00+01:00,0.0,2392.0,2392.0
2026-09-20 04:30:00+01:00,0.0,2438.0,2438.0
2026-09-20 05:30:00+01:00,0.0,2576.0000000000005,2576.0000000000005
2026-09-20 06:30:00+01:00,15.5975,2852.0,2836.4025
2026-09-20 07:30:00+01:00,94.9399,3128.0,3033.0601
2026-09-20 08:30:00+01:00,207.0332,3404.0,3196.9668
2026-09-20 09:30:00+01:00,292.6901,3634.0,3341.3099
2026-09-20 10:30:00+01:00,360.0956,3818.0,3457.9044
2026-09-20 11:30:00+01:00,404.091,3910.0,3505.909
2026-09-20 12:30:00+01:00,381.3595,3956.0,3574.6405
2026-09-20 13:30:00+01:00,348.8061,3910.0,3561.1939
2026-09-20 14:30:00+01:00,284.5433,3864.0,3579.4567
2026-09-20 15:30:00+01:00,202.0348,3864.0,3661.9652
2026-09-20 16:30:00+01:00,117.1294,3956.0,3838.8706
2026-09-20 17:30:00+01:00,41.149,4140.0,4098.851
2026-09-20 18:30:00+01:00,0.0,4370.0,4370.0
2026-09-20 19:30:00+01:00,0.0,4554.0,4554.0
2026-09-20 20:30:00+01:00,0.0,4600.0,4600.0
2026-09-20 21:30:00+01:00,0.0,4324.0,4324.0
2026-09-20 22:30:00+01:00,0.0,3680.0,3680.0
2026-09-20 23:30:00+01:00,0.0,3082.0,3082.0
2026-09-21 00:30:00+01:00,0.0,2668.0,2668.0
2026-09-21 01:30:00+01:00,0.0,2530.0,2530.0
2026-09-21 02:30:00+01:00,0.0,2438.0,2438.0
2026-09-21 03:30:00+01:00,0.0,2392.0,2392.0
2026-09-21 04:30:00+01:00,0.0,2438.0,2438.0
2026-09-21 05:30:00+01:00,0.0,2576.0000000000005,2576.0000000000005
2026-09-21 06:30:00+01:00,13.739,2852.0,2838.261
2026-09-21 07:30:00+01:00,86.748,3128.0,3041.252
2026-09-21 08:30:00+01:00,183.0158,3404.0,3220.9842
2026-09-21 09:30:00+01:00,269.4062,3634.0,3364.5938
2026-09-21 10:30:00+01:00,327.5269,3818.0,3490.4731
2026-09-21 11:30:00+01:00,374.4286,3910.0,3535.5714
2026-09-21 12:30:00+01:00,377.4153,3956.0,3578.5847
2026-09-21 13:30:00+01:00,347.956,3910.0,3562.044
2026-09-21 14:30:00+01:00,299.5618,3864.0,3564.4382
2026-09-21 15:30:00+01:00,239.1084,3864.0,3624.8916
2026-09-21 16:30:00+01:00,145.0742,3956.0,3810.9258
2026-09-21 17:30:00+01:00,49.0908,4140.0,4090.9092
2026-09-21 18:30:00+01:00,0.0,4370.0,4370.0
2026-09-21 19:30:00+01:00,0.0,4554.0,4554.0
2026-09-21 20:30:00+01:00,0.0,4600.0,4600.0
2026-09-21 21:30:00+01:00,0.0,4324.0,4324.0
2026-09-21 22:30:00+01:00,0.0,3680.0,3680.0
2026-09-21 23:30:00+01:00,0.0,3082.0,3082.0
2026-09-22 00:30:00+01:00,0.0,2668.0,2668.0
2026-09-22 01:30:00+01:00,0.0,2530.0,2530.0
2026-09-22 02:30:00+01:00,0.0,2438.0,2438.0
2026-09-22 03:30:00+01:00,0.0,2392.0,2392.0
2026-09-22 04:30:00+01:00,0.0,2438.0,2438.0
2026-09-22 05:30:00+01:00,0.0,2576.0000000000005,2576.0000000000005
2026-09-22 06:30:00+01:00,14.7724,2852.0,2837.2276
2026-09-22 07:30:00+01:00,93.4453,3128.0,3034.5547
2026-09-22 08:30:00+01:00,200.3852,3404.0,3203.6148
2026-09-22 09:30:00+01:00,299.8281,3634.0,3334.1719
2026-09-22 10:30:00+01:00,356.4055,3818.0,3461.5945
2026-09-22 11:30:00+01:00,381.8615,3910.0,3528.1385
2026-09-22 12:30:00+01:00,393.6239,3956.0,3562.3761
2026-09-22 13:30:00+01:00,365.4455,3910.0,3544.5545
2026-09-22 14:30:00+01:00,323.5667,3864.0,3540.4333
2026-09-22 15:30:00+01:00,251.8813,3864.0,3612.1187
2026-09-22 16:30:00+01:00,154.0171,3956.0,3801.9829
2026-09-22 17:30:00+01:00,48.2077,4140.0,4091.7923
2026-09-22 18:30:00+01:00,0.0,4370.0,4370.0
2026-09-22 19:30:00+01:00,0.0,4554.0,4554.0
2026-09-22 20:30:00+01:00,0.0,4600.0,4600.0
2026-09-22 21:30:00+01:00,0.0,4324.0,4324.0
2026-09-22 22:30:00+01:00,0.0,3680.0,3680.0
2026-09-22 23:30:00+01:00,0.0,3082.0,3082.0
2026-09-23 00:30:00+01:00,0.0,2668.0,2668.0
